!SIL	sil
<unk>	spn
błędna	b w eo5 d n a
błędne	b w eo5 d n e
błędnej	b w eo5 d n e j
błędu	b w eo5 d u
błędy	b w eo5 d i2
błędzie	b w eo5 dzj e
błędów	b w eo5 d u v
c	c
c	c e
cafe	c a f e
cahalu	c a h a l u
cakajew	c a k a j e v
cakir	c a k i r
caliche	c a l j h e
cameron	c a m e r o n
canal	c a n a l
canon	c a n o n
cardin	c a r d j n
caritas	c a r j t a s
carla	c a r l a
carlo	c a r l o
carmen	c a r m e n
carol	c a r o l
caruso	c a r u s o
caryńskiej	c a r i2 n~ s k i e j
casa	c a s a
case	c e a e s e
casini	c a sj i n i
causa	c a u s a
cała	c a w a
całe	c a w e
całego	c a w e g o
całej	c a w e j
całemu	c a w e m u
całkiem	c a w k i e m
całkowicie	c a w k o v i tsj e
całkowite	c a w k o v i t e
całkowitego	c a w k o v i t e g o
całkowitej	c a w k o v i t e j
całkowity	c a w k o v i t i2
całkowitym	c a w k o v i t i2 m
całkowitą	c a w k o v i t oc5
całodzienną	c a w o dzj e n n oc5
całonocną	c a w o n o c n oc5
całotygodniowym	c a w o t i2 g o d n i o v i2 m
całości	c a w o sj tsj i
całościowa	c a w o sj tsj o v a
całościowymi	c a w o sj tsj o v i2 m i
całość	c a w o sj tsj
cały	c a w i2
całych	c a w i2 h
całym	c a w i2 m
całą	c a w oc5
cbos	c e b e o e s
cdu	c e d e u
cecha	c e h a
cechowała	c e h o v a w a
cechy	c e h i2
cechą	c e h oc5
cechę	c e h e
cede	c e d e
cefarm	c e f a r m
cel	c e l
cele	c e l e
celem	c e l e m
celi	c e l j
celna	c e l n a
celne	c e l n e
celnego	c e l n e g o
celnej	c e l n e j
celnicy	c e l n i c i2
celnikom	c e l n i k o m
celników	c e l n i k u v
celnych	c e l n i2 h
celowe	c e l o v e
celownikami	c e l o v n i k a m i
celowo	c e l o v o
celowość	c e l o v o sj tsj
celu	c e l u
celujemy	c e l u j e m i2
celów	c e l u v
cement	c e m e n t
cementu	c e m e n t u
cen	c e n
cena	c e n a
cenach	c e n a h
ceni	c e n i
cenie	c e n i e
cenimy	c e n i m i2
ceniona	c e n i o n a
cenione	c e n i o n e
ceniąc	c e n i oc5 c
ceniącej	c e n i oc5 c e j
cenię	c e n i e
cenna	c e n n a
cenne	c e n n e
cennego	c e n n e g o
cennej	c e n n e j
cenniejsze	c e n n i e j S e
cenny	c e n n i2
cenną	c e n n oc5
cenowa	c e n o v a
cenowych	c e n o v i2 h
centcom	c e n t c o m
center	c e n t e r
centra	c e n t r a
centrach	c e n t r a h
central	c e n t r a l
centrala	c e n t r a l a
centrali	c e n t r a l j
centralizacja	c e n t r a l j z a c j a
centralki	c e n t r a l k i
centralkę	c e n t r a l k e
centralnego	c e n t r a l n e g o
centralnej	c e n t r a l n e j
centralnemu	c e n t r a l n e m u
centralnie	c e n t r a l n i e
centralny	c e n t r a l n i2
centralnych	c e n t r a l n i2 h
centralnym	c e n t r a l n i2 m
centralną	c e n t r a l n oc5
centralę	c e n t r a l e
centre	c e n t r e
centroprawicy	c e n t r o p r a v i c i2
centrowej	c e n t r o v e j
centrum	c e n t r u m
centrystami	c e n t r i2 s t a m i
centrów	c e n t r u v
centymetry	c e n t i2 m e t r i2
centymetrów	c e n t i2 m e t r u v
ceny	c e n i2
cenzura	c e n z u r a
cenzurowanym	c e n z u r o v a n i2 m
cenzurze	c e n z u Z e
ceną	c e n oc5
cenę	c e n e
cepaea	c e p a e a
cepil	c e p i l
cera	c e r a
ceramicznych	c e r a m i tS n i2 h
ceramiki	c e r a m i k i
ceremonii	c e r e m o n i i
cerkiew	c e r k i e v
cerkiewek	c e r k i e v e k
cerkiewnej	c e r k i e v n e j
cerkwi	c e r k f i
certyfikatów	c e r t i2 f i k a t u v
cesare	c e s a r e
cesarskie	c e s a r s k i e
cesarskim	c e s a r s k i m
cesarza	c e s a Z a
cezarów	c e z a r u v
cezas	c e z a s
chalid	h a l j d
chalida	h a l j d a
chalidem	h a l j d e m
champagne	h a m p a g n e
chamy	h a m i2
chaotycznie	h a o t i2 tS n i e
chaotyczny	h a o t i2 tS n i2
charakter	h a r a k t e r
charakteru	h a r a k t e r u
charakterystyczne	h a r a k t e r i2 s t i2 tS n e
charakterystyczny	h a r a k t e r i2 s t i2 tS n i2
charakterystyczną	h a r a k t e r i2 s t i2 tS n oc5
charakterystyki	h a r a k t e r i2 s t i2 k i
charakteryzował	h a r a k t e r i2 z o v a w
charakterze	h a r a k t e Z e
charczy	h a r tS i2
charles	h a r l e s
charlesa	h a r l e s a
charytatywne	h a r i2 t a t i2 v n e
charytatywnych	h a r i2 t a t i2 v n i2 h
chasawjurcie	h a s a v j u r tsj e
chasbułatow	h a s b u w a t o v
chasbułatowa	h a s b u w a t o v a
chałupę	h a w u p e
chałwa	h a w v a
chce	h c e
chcecie	h c e tsj e
chcemy	h c e m i2
chcesz	h c e S
chciano	h tsj a n o
chciał	h tsj a w
chciała	h tsj a w a
chciałaby	h tsj a w a b i2
chciałby	h tsj a w b i2
chciałbym	h tsj a w b i2 m
chciałem	h tsj a w e m
chciało	h tsj a w o
chciałoby	h tsj a w o b i2
chciały	h tsj a w i2
chciałyby	h tsj a w i2 b i2
chcieli	h tsj e l j
chcieliby	h tsj e l j b i2
chcielibyśmy	h tsj e l j b i2 sj m i2
chcieliśmy	h tsj e l j sj m i2
chciwością	h tsj i v o sj tsj oc5
chcą	h c oc5
chcąc	h c oc5 c
chcąca	h c oc5 c a
chcącego	h c oc5 c e g o
chcącemu	h c oc5 c e m u
chcący	h c oc5 c i2
chcących	h c oc5 c i2 h
chcę	h c e
chemiczką	h e m i tS k oc5
chemiczna	h e m i tS n a
chemiczne	h e m i tS n e
chemicznej	h e m i tS n e j
chemicznych	h e m i tS n i2 h
chemicznym	h e m i tS n i2 m
chemicznymi	h e m i tS n i2 m i
chemiczną	h e m i tS n oc5
chemii	h e m i i
chemik	h e m i k
chemobudowa	h e m o b u d o v a
chemobudowie	h e m o b u d o v i e
cheney	h e n e i2
chełmnie	h e w m n i e
chełmno	h e w m n o
chicago	h j c a g o
chili	h j l j
chimerze	h j m e Z e
chin	h j n
chinach	h j n a h
chinami	h j n a m i
chiny	h j n i2
chirac	h j r a c
chiraca	h j r a c a
chirurg	h j r u r g
chirurgiczny	h j r u r g i tS n i2
chirurgii	h j r u r g i i
chiński	h j n~ s k i
chińskich	h j n~ s k i h
chińskie	h j n~ s k i e
chińskiego	h j n~ s k i e g o
chińskiej	h j n~ s k i e j
chińskim	h j n~ s k i m
chleb	h l e b
chlipalskiego	h l j p a l s k i e g o
chloramina	h l o r a m i n a
chlorocyjan	h l o r o c i2 j a n
chlubnymi	h l u b n i2 m i
chlup	h l u p
chmielnika	h m i e l n i k a
chmur	h m u r
chmury	h m u r i2
chochołowskiej	h o h o w o v s k i e j
chociaż	h o tsj a S
chociażby	h o tsj a Z b i2
chodkowska	h o t k o v s k a
chodnika	h o d n i k a
chodnikiem	h o d n i k i e m
chodniku	h o d n i k u
chodników	h o d n i k u v
chodynicki	h o d i2 n i c k i
chodynickiego	h o d i2 n i c k i e g o
chodzenia	h o dz e n i a
chodzi	h o dzj i
chodzili	h o dzj i l j
chodzić	h o dzj i tsj
chodziła	h o dzj i w a
chodziło	h o dzj i w o
chodziły	h o dzj i w i2
chodzących	h o dz oc5 c i2 h
cholera	h o l e r a
cholery	h o l e r i2
chopin	S o p e n
chopina	h o p i n a
chopinie	h o p i n i e
chora	h o r a
chore	h o r e
chorego	h o r e g o
choroba	h o r o b a
chorobowe	h o r o b o v e
chorobową	h o r o b o v oc5
choroby	h o r o b i2
chorobą	h o r o b oc5
chorowali	h o r o v a l j
chorowały	h o r o v a w i2
chorują	h o r u j oc5
chorwatach	h o r v a t a h
chorwatów	h o r v a t u v
chory	h o r i2
chorych	h o r i2 h
chorym	h o r i2 m
chorób	h o r u b
choróbska	h o r u b s k a
chorągiewkami	h o r oc5 g i e v k a m i
chorągiewką	h o r oc5 g i e v k oc5
chorążego	h o r oc5 Z e g o
chorążemu	h o r oc5 Z e m u
chorąży	h o r oc5 Z i2
chowa	h o v a
chowając	h o v a j oc5 c
chowane	h o v a n e
chowania	h o v a n i a
chować	h o v a tsj
chował	h o v a w
chowała	h o v a w a
chowańskim	h o v a n~ s k i m
choć	h o tsj
choćby	h o tsj b i2
chrapusta	h r a p u s t a
christoffersena	h r j s t o f f e r s e n a
chroni	h r o n i
chroniona	h r o n i o n a
chronione	h r o n i o n e
chronią	h r o n i oc5
chroniące	h r o n i oc5 c e
chronić	h r o n i tsj
chroniło	h r o n i w o
chronologii	h r o n o l o g i i
chropawych	h r o p a v i2 h
chrystus	h r i2 s t u s
chrystusa	h r i2 s t u s a
chrystusem	h r i2 s t u s e m
chrzanowa	h Z a n o v a
chrzanowie	h Z a n o v i e
chrzanowska	h Z a n o v s k a
chrzanowski	h Z a n o v s k i
chrzanowskiego	h Z a n o v s k i e g o
chrzanowskim	h Z a n o v s k i m
chrześcijan	h Z e sj tsj i j a n
chrześcijanami	h Z e sj tsj i j a n a m i
chrześcijaninowi	h Z e sj tsj i j a n i n o v i
chrześcijanka	h Z e sj tsj i j a n k a
chrześcijańska	h Z e sj tsj i j a n~ s k a
chrześcijańskich	h Z e sj tsj i j a n~ s k i h
chrześcijańskie	h Z e sj tsj i j a n~ s k i e
chrześcijańskiej	h Z e sj tsj i j a n~ s k i e j
chrześcijaństwa	h Z e sj tsj i j a n~ s t f a
chrześcijaństwo	h Z e sj tsj i j a n~ s t f o
chude	h u d e
chuligani	h u l j g a n i
chuliganów	h u l j g a n u v
churchill	h u r h j l l
chusteczki	h u s t e tS k i
chwalebna	h v a l e b n a
chwaleni	h v a l e n i
chwali	h v a l j
chwalik	h v a l j k
chwalić	h v a l j tsj
chwalił	h v a l j w
chwały	h v a w i2
chwil	h v i l
chwila	h v i l a
chwilach	h v i l a h
chwile	h v i l e
chwili	h v i l j
chwilowe	h v i l o v e
chwilowo	h v i l o v o
chwilowym	h v i l o v i2 m
chwilową	h v i l o v oc5
chwilą	h v i l oc5
chwilę	h v i l e
chwycili	h v i2 tsj i l j
chwyciła	h v i2 tsj i w a
chwyt	h v i2 t
chwytała	h v i2 t a w a
chwytów	h v i2 t u v
chyba	h i2 b a
chytrus	h i2 t r u s
chór	h u r
chóralnej	h u r a l n e j
chóru	h u r u
chórze	h u Z e
chęci	h eo5 tsj i
chętka	h eo5 t k a
chętnego	h eo5 t n e g o
chętnie	h eo5 t n i e
chętniej	h eo5 t n i e j
chętnych	h eo5 t n i2 h
chętnym	h eo5 t n i2 m
chętnymi	h eo5 t n i2 m i
chęć	h eo5 tsj
chłańska	h w a n~ s k a
chłodna	h w o d n a
chłodnego	h w o d n e g o
chłodni	h w o d n i
chłodniach	h w o d n i a h
chłodnią	h w o d n i oc5
chłodzące	h w o dz oc5 c e
chłonęła	h w o n eo5 w a
chłop	h w o p
chłopa	h w o p a
chłopak	h w o p a k
chłopaka	h w o p a k a
chłopakowi	h w o p a k o v i
chłopcy	h w o p c i2
chłopiec	h w o p i e c
chłopskich	h w o p s k i h
chłopskie	h w o p s k i e
chłopskiego	h w o p s k i e g o
chłopy	h w o p i2
chłopów	h w o p u v
ci	tsj i
cia	c e i a
ciach	tsj a h
ciampi	tsj a m p i
ciasnego	tsj a s n e g o
ciał	tsj a w
ciała	tsj a w a
ciałem	tsj a w e m
ciałkach	tsj a w k a h
ciałko	tsj a w k o
ciało	tsj a w o
cicho	tsj i h o
cichu	tsj i h u
cichutko	tsj i h u t k o
ciebie	tsj e b i e
cieczy	tsj e tS i2
ciekaw	tsj e k a v
ciekawa	tsj e k a v a
ciekawe	tsj e k a v e
ciekawej	tsj e k a v e j
ciekawi	tsj e k a v i
ciekawostką	tsj e k a v o s t k oc5
ciekawości	tsj e k a v o sj tsj i
ciekawszej	tsj e k a v S e j
ciekawy	tsj e k a v i2
ciekawych	tsj e k a v i2 h
ciekawą	tsj e k a v oc5
ciele	tsj e l e
cieleniową	tsj e l e n i o v oc5
cieleń	tsj e l e n~
cielska	tsj e l s k a
cielący	tsj e l oc5 c i2
cielęca	tsj e l eo5 c a
cielęciny	tsj e l eo5 tsj i n i2
cielęciną	tsj e l eo5 tsj i n oc5
ciemne	tsj e m n e
ciemnej	tsj e m n e j
ciemno	tsj e m n o
ciemnoskórzy	tsj e m n o s k u Z i2
ciemności	tsj e m n o sj tsj i
ciemnościach	tsj e m n o sj tsj a h
ciemność	tsj e m n o sj tsj
ciemną	tsj e m n oc5
cieni	tsj e n i
cienia	tsj e n i a
cienie	tsj e n i e
cienką	tsj e n k oc5
cieplarnianych	tsj e p l a r n i a n i2 h
cieplnej	tsj e p l n e j
cieplno-wilgotnościowych	tsj e p l n o v i l g o t n o sj tsj o v i2 h
cieplną	tsj e p l n oc5
ciepła	tsj e p w a
ciepłe	tsj e p w e
ciepłej	tsj e p w e j
ciepło	tsj e p w o
ciepłownictwa	tsj e p w o v n i c t f a
ciepłowniczych	tsj e p w o v n i tS i2 h
ciepły	tsj e p w i2
ciepłych	tsj e p w i2 h
ciepłym	tsj e p w i2 m
cierpi	tsj e r p i
cierpieć	tsj e r p i e tsj
cierpień	tsj e r p i e n~
cierpiąca	tsj e r p i oc5 c a
cierpiącego	tsj e r p i oc5 c e g o
cierpiącej	tsj e r p i oc5 c e j
cierpiącym	tsj e r p i oc5 c i2 m
cierpliwości	tsj e r p l j v o sj tsj i
cierpliwość	tsj e r p l j v o sj tsj
ciesz	tsj e S
cieszy	tsj e S i2
cieszyli	tsj e S i2 l j
cieszyć	tsj e S i2 tsj
cieszył	tsj e S i2 w
cieszyła	tsj e S i2 w a
cieszą	tsj e S oc5
cieszącym	tsj e S oc5 c i2 m
cieszę	tsj e S e
cień	tsj e n~
cieślak	tsj e sj l a k
cimoszewicz	tsj i m o S e v i tS
cimoszewicza	tsj i m o S e v i tS a
cinema	tsj i n e m a
cioci	tsj o tsj i
cios	tsj o s
ciosek	tsj o s e k
ciosem	tsj o s e m
cioska	tsj o s k a
ciotek	tsj o t e k
ciotka	tsj o t k a
cis-moll	tsj i s m o l l
cisa	c e i e s a
cisi	tsj i sj i
cisowski	tsj i s o v s k i
cisza	tsj i S a
ciszy	tsj i S i2
ciszę	tsj i S e
citroena	tsj i t r o e n a
city	tsj i t i2
ciu	tsj u
ciut-ciut	tsj u t tsj u t
ciułać	tsj u w a tsj
ciąg	tsj oc5 g
ciągi	tsj oc5 g i
ciągle	tsj oc5 g l e
ciągnie	tsj oc5 g n i e
ciągnącego	tsj oc5 g n oc5 c e g o
ciągnącej	tsj oc5 g n oc5 c e j
ciągnącym	tsj oc5 g n oc5 c i2 m
ciągnąć	tsj oc5 g n oc5 tsj
ciągnęliśmy	tsj oc5 g n eo5 l j sj m i2
ciągot	tsj oc5 g o t
ciągu	tsj oc5 g u
ciągłego	tsj oc5 g w e g o
ciąży	tsj oc5 Z i2
ciążą	tsj oc5 Z oc5
ciążę	tsj oc5 Z e
cię	tsj i e
cięcia	tsj eo5 tsj a
cięcie	tsj eo5 tsj e
cięciu	tsj eo5 tsj u
cięć	tsj eo5 tsj
ciężarna	tsj eo5 Z a r n a
ciężarnych	tsj eo5 Z a r n i2 h
ciężarówek	tsj eo5 Z a r u v e k
ciężarówka	tsj eo5 Z a r u v k a
ciężarówki	tsj eo5 Z a r u v k i
ciężarówką	tsj eo5 Z a r u v k oc5
ciężarówkę	tsj eo5 Z a r u v k e
ciężki	tsj eo5 Z k i
ciężkie	tsj eo5 Z k i e
ciężkiego	tsj eo5 Z k i e g o
ciężkiej	tsj eo5 Z k i e j
ciężkim	tsj eo5 Z k i m
ciężko	tsj eo5 Z k o
cięższych	tsj eo5 Z S i2 h
ciśnieniu	tsj i sj n i e n i u
ciżemki	tsj i Z e m k i
ck	c k
ckliwych	c k l j v i2 h
clarkiem	c l a r k i e m
claude	c l a u d e
clinton	c l j n t o n
clintona	c l j n t o n a
clonaid	c l o n a i d
clooney	c l o o n e i2
clooneya	c l o o n e i2 a
club	c l u b
clubu	c l u b u
cmentarz	c m e n t a S
cmentarza	c m e n t a Z a
cmentarzach	c m e n t a Z a h
cmentarzu	c m e n t a Z u
cni	c n i
cnn	c e e n e n
cnych	c n i2 h
co	c e o
co	c o
codzienne	c o dzj e n n e
codziennego	c o dzj e n n e g o
codziennie	c o dzj e n n i e
codzienny	c o dzj e n n i2
codziennych	c o dzj e n n i2 h
codziennym	c o dzj e n n i2 m
codzienną	c o dzj e n n oc5
cofać	c o f a tsj
cokolwiek	c o k o l v i e k
colin	c o l j n
college'u	c o l l e g e u
collegium	c o l l e g i u m
colę	c o l e
com	c o m
comb	c o m b
comiesięcznej	c o m i e sj eo5 tS n e j
compostela	c o m p o s t e l a
conan	c o n a n
condoleezza	c o n d o l e e z z a
consomme	c o n s o m m e
consultants	c o n s u l t a n t s
consulting	c o n s u l t j n g
cooke	c o o k e
coplanda	c o p l a n d a
coraz	c o r a z
coroczna	c o r o tS n a
corocznie	c o r o tS n i e
corocznym	c o r o tS n i2 m
corporate	c o r p o r a t e
corrie	c o r r j e
corriere	c o r r j e r e
cottereau	c o t t e r e a u
coubertina	c o u b e r t j n a
courneuve	c o u r n e u f e
coś	c o sj
cpn-em	c p n e m
cpn-u	c p n u
crawford	c r a v f o r d
crh	c e e r h a
cud	c u d
cuda	c u d a
cudem	c u d e m
cudowne	c u d o v n e
cudownie	c u d o v n i e
cudowny	c u d o v n i2
cudownych	c u d o v n i2 h
cudownym	c u d o v n i2 m
cudu	c u d u
cudze	c u dz e
cudzej	c u dz e j
cudzoziemcy	c u dz o zj e m c i2
cudzoziemców	c u dz o zj e m c u v
cudzoziemskiej	c u dz o zj e m s k i e j
cukier	c u k i e r
cukierkami	c u k i e r k a m i
cukrowe	c u k r o v e
cukrowni	c u k r o v n i
cukrowych	c u k r o v i2 h
cukru	c u k r u
cupiał	c u p i a w
cwaniacy	c v a n i a c i2
cwaniakach	c v a n i a k a h
cwaniaków	c v a n i a k u v
cyganerię	c i2 g a n e r j e
cygańskie	c i2 g a n~ s k i e
cygańskiej	c i2 g a n~ s k i e j
cyjanowodór	c i2 j a n o v o d u r
cykl	c i2 k l
cykle	c i2 k l e
cyklu	c i2 k l u
cymbał	c i2 m b a w
cyniczni	c i2 n i tS n i
cynicznymi	c i2 n i tS n i2 m i
cypara	c i2 p a r a
cypary	c i2 p a r i2
cypr	c i2 p r
cypru	c i2 p r u
cyrano	c i2 r a n o
cyrkową	c i2 r k o v oc5
cyrylicy	c i2 r i2 l j c i2
cytowanej	c i2 t o v a n e j
cytowani	c i2 t o v a n i
cytowanych	c i2 t o v a n i2 h
cytowań	c i2 t o v a n~
cywil	c i2 v i l
cywile	c i2 v i l e
cywilem	c i2 v i l e m
cywilizacja	c i2 v i l j z a c j a
cywilizacje	c i2 v i l j z a c j e
cywilizacji	c i2 v i l j z a c j i
cywilizacją	c i2 v i l j z a c j oc5
cywilizację	c i2 v i l j z a c j e
cywilizacyjnego	c i2 v i l j z a c i2 j n e g o
cywilizacyjnej	c i2 v i l j z a c i2 j n e j
cywilizowane	c i2 v i l j z o v a n e
cywilizowany	c i2 v i l j z o v a n i2
cywilizowanych	c i2 v i l j z o v a n i2 h
cywilne	c i2 v i l n e
cywilnego	c i2 v i l n e g o
cywilnej	c i2 v i l n e j
cywilny	c i2 v i l n i2
cywilnych	c i2 v i l n i2 h
cywilnym	c i2 v i l n i2 m
cywilną	c i2 v i l n oc5
cywilu	c i2 v i l u
cywilów	c i2 v i l u v
czacie	tS a tsj e
czadem	tS a d e m
czai	tS a i
czantorią	tS a n t o r j oc5
czapa	tS a p a
czapami	tS a p a m i
czaputowicz	tS a p u t o v i tS
czaputowicza	tS a p u t o v i tS a
czar	tS a r
czarna	tS a r n a
czarne	tS a r n e
czarnego	tS a r n e g o
czarni	tS a r n i
czarno-biała	tS a r n o b i a w a
czarny	tS a r n i2
czarnych	tS a r n i2 h
czarnym	tS a r n i2 m
czarną	tS a r n oc5
czarownika	tS a r o v n i k a
czarujmy	tS a r u j m i2
czary	tS a r i2
czarzastego	tS a Z a s t e g o
czarzasty	tS a Z a s t i2
czas	tS a s
czasach	tS a s a h
czasami	tS a s a m i
czasem	tS a s e m
czasie	tS a sj e
czasopism	tS a s o p i s m
czasopisma	tS a s o p i s m a
czasowej	tS a s o v e j
czasu	tS a s u
czasy	tS a s i2
czasów	tS a s u v
czci	tS tsj i
czech	tS e h
czechach	tS e h a h
czechowicach-dziedzicach	tS e h o v i c a h dzj e dzj i c a h
czechy	tS e h i2
czechów	tS e h u v
czeczen	tS e tS e n
czeczenach	tS e tS e n a h
czeczenami	tS e tS e n a m i
czeczeni	tS e tS e n i
czeczenia	tS e tS e n i a
czeczenii	tS e tS e n i i
czeczenizacja	tS e tS e n i z a c j a
czeczenizacji	tS e tS e n i z a c j i
czeczenię	tS e tS e n i e
czeczenom	tS e tS e n o m
czeczenów	tS e tS e n u v
czeczeńscy	tS e tS e n~ s c i2
czeczeńska	tS e tS e n~ s k a
czeczeński	tS e tS e n~ s k i
czeczeńskich	tS e tS e n~ s k i h
czeczeńskie	tS e tS e n~ s k i e
czeczeńskiego	tS e tS e n~ s k i e g o
czeczeńskiej	tS e tS e n~ s k i e j
czeczeńską	tS e tS e n~ s k oc5
czego	tS e g o
czegokolwiek	tS e g o k o l v i e k
czegoś	tS e g o sj
czek	tS e k
czeka	tS e k a
czekają	tS e k a j oc5
czekając	tS e k a j oc5 c
czekali	tS e k a l j
czekaliśmy	tS e k a l j sj m i2
czekam	tS e k a m
czekamy	tS e k a m i2
czekanem	tS e k a n e m
czekać	tS e k a tsj
czekał	tS e k a w
czekała	tS e k a w a
czekało	tS e k a w o
czekały	tS e k a w i2
czekistom	tS e k i s t o m
czeku	tS e k u
czele	tS e l e
czeluść	tS e l u sj tsj
czemu	tS e m u
czereda	tS e r e d a
czernik	tS e r n i k
czernomyrdinem	tS e r n o m i2 r d j n e m
czerpali	tS e r p a l j
czerpany	tS e r p a n i2
czerpać	tS e r p a tsj
czerwca	tS e r v c a
czerwcowe	tS e r v c o v e
czerwcowym	tS e r v c o v i2 m
czerwcu	tS e r v c u
czerwiec	tS e r v i e c
czerwiński	tS e r v i n~ s k i
czerwone	tS e r v o n e
czerwonego	tS e r v o n e g o
czerwonej	tS e r v o n e j
czerwono	tS e r v o n o
czerwono-czarnych	tS e r v o n o tS a r n i2 h
czerwonoskórym	tS e r v o n o s k u r i2 m
czerwony	tS e r v o n i2
czerwonych	tS e r v o n i2 h
czerwonym	tS e r v o n i2 m
czerwoną	tS e r v o n oc5
czesać	tS e s a tsj
czesi	tS e sj i
czesio	tS e sj o
czesiów	tS e sj u v
czeskich	tS e s k i h
czeskie	tS e s k i e
czeskiego	tS e s k i e g o
czeskiej	tS e s k i e j
czeskimi	tS e s k i m i
czesko-austrickie	tS e s k o a u s t r j c k i e
czesko-niemieckie	tS e s k o n i e m i e c k i e
czesław	tS e s w a v
czesława	tS e s w a v a
czesławy	tS e s w a v i2
czesławę	tS e s w a v e
czetrnastu	tS e t r n a s t u
cześka	tS e sj k a
cześkę	tS e sj k e
cześć	tS e sj tsj
czol	tS o l
czoła	tS o w a
czołganie	tS o w g a n i e
czołgi	tS o w g i
czołgu	tS o w g u
czołgów	tS o w g u v
czoło	tS o w o
czołowego	tS o w o v e g o
czołowi	tS o w o v i
czołową	tS o w o v oc5
czołówce	tS o w u v c e
czołówka	tS o w u v k a
czterdziestego	tS t e r dzj e s t e g o
czterdziesto	tS t e r dzj e s t o
czterdziesto-letni	tS t e r dzj e s t o l e t n i
czterdziestokilogramowym	tS t e r dzj e s t o k i l o g r a m o v i2 m
czterdziestolatkowie	tS t e r dzj e s t o l a t k o v i e
czterdziestoletni	tS t e r dzj e s t o l e t n i
czterdziestoletniego	tS t e r dzj e s t o l e t n i e g o
czterdziestoma	tS t e r dzj e s t o m a
czterdziestominutowe	tS t e r dzj e s t o m i n u t o v e
czterdziestu	tS t e r dzj e s t u
czterdziestych	tS t e r dzj e s t i2 h
czterdziestym	tS t e r dzj e s t i2 m
czterdzieści	tS t e r dzj e sj tsj i
czterdziśeci	tS t e r dzj i sj e tsj i
czterech	tS t e r e h
czterema	tS t e r e m a
czternastego	tS t e r n a s t e g o
czternastowiecznego	tS t e r n a s t o v i e tS n e g o
czternastu	tS t e r n a s t u
czternasty	tS t e r n a s t i2
czternaście	tS t e r n a sj tsj e
cztero	tS t e r o
cztero-letni	tS t e r o l e t n i
czteroletni	tS t e r o l e t n i
czteroosobowy	tS t e r o o s o b o v i2
czteroprocentowy	tS t e r o p r o c e n t o v i2
cztersyta	tS t e r s i2 t a
cztery	tS t e r i2
czterysta	tS t e r i2 s t a
czterystu	tS t e r i2 s t u
cztrdzieści	tS t r dzj e sj tsj i
cztredziestu	tS t r e dzj e s t u
cztredzieści	tS t r e dzj e sj tsj i
cztrenaście	tS t r e n a sj tsj e
czubek	tS u b e k
czuje	tS u j e
czujnika	tS u j n i k a
czujnikach	tS u j n i k a h
czujników	tS u j n i k u v
czujności	tS u j n o sj tsj i
czują	tS u j oc5
czuję	tS u j e
czuli	tS u l j
czuwanie	tS u v a n i e
czuwał	tS u v a w
czuć	tS u tsj
czuł	tS u w
czuła	tS u w a
czułem	tS u w e m
czuły	tS u w i2
czwarta	tS v a r t a
czwarte	tS v a r t e
czwartego	tS v a r t e g o
czwartej	tS v a r t e j
czwartek	tS v a r t e k
czwartku	tS v a r t k u
czwarty	tS v a r t i2
czwartym	tS v a r t i2 m
czwartą	tS v a r t oc5
czworga	tS v o r g a
czworo	tS v o r o
czworonogami	tS v o r o n o g a m i
czworonogi	tS v o r o n o g i
czwórka	tS v u r k a
czwórkę	tS v u r k e
czy	tS i2
czyichś	tS i2 i h sj
czyj	tS i2 j
czyjąś	tS i2 j oc5 sj
czyli	tS i2 l j
czym	tS i2 m
czymś	tS i2 m sj
czymże	tS i2 m Z e
czyni	tS i2 n i
czynie	tS i2 n i e
czynienia	tS i2 n i e n i a
czynili	tS i2 n i l j
czynimy	tS i2 n i m i2
czyniąc	tS i2 n i oc5 c
czynić	tS i2 n i tsj
czynił	tS i2 n i w
czyniły	tS i2 n i w i2
czynne	tS i2 n n e
czynnego	tS i2 n n e g o
czynnej	tS i2 n n e j
czynnie	tS i2 n n i e
czynnikiem	tS i2 n n i k i e m
czynników	tS i2 n n i k u v
czynności	tS i2 n n o sj tsj i
czynnością	tS i2 n n o sj tsj oc5
czynność	tS i2 n n o sj tsj
czynny	tS i2 n n i2
czynnych	tS i2 n n i2 h
czynnym	tS i2 n n i2 m
czyności	tS i2 n o sj tsj i
czynsz	tS i2 n S
czynszu	tS i2 n S u
czynszów	tS i2 n S u v
czynu	tS i2 n u
czyny	tS i2 n i2
czynów	tS i2 n u v
czyrek	tS i2 r e k
czyrka	tS i2 r k a
czyste	tS i2 s t e
czystej	tS i2 s t e j
czystek	tS i2 s t e k
czystka	tS i2 s t k a
czystki	tS i2 s t k i
czystkę	tS i2 s t k e
czysto	tS i2 s t o
czystości	tS i2 s t o sj tsj i
czystościowych	tS i2 s t o sj tsj o v i2 h
czystość	tS i2 s t o sj tsj
czystych	tS i2 s t i2 h
czystą	tS i2 s t oc5
czytali	tS i2 t a l j
czytam	tS i2 t a m
czytamy	tS i2 t a m i2
czytania	tS i2 t a n i a
czytanie	tS i2 t a n i e
czytanych	tS i2 t a n i2 h
czytaną	tS i2 t a n oc5
czytać	tS i2 t a tsj
czytał	tS i2 t a w
czytałem	tS i2 t a w e m
czytelne	tS i2 t e l n e
czytelni	tS i2 t e l n i
czytelnictwa	tS i2 t e l n i c t f a
czytelnicy	tS i2 t e l n i c i2
